palavra,combo,conta,pilar,tema,tese,promessa,texto_dm
NEVE,D05xP1,@viajaly,desejo,destino,Primeira neve da familia nos EUA,o guia da primeira viagem de inverno,"Oi! Obrigada por comentar NEVE. Como prometi, aqui vai o guia da primeira viagem de inverno. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
PRAIA,D07xP2,@viajaly,desejo,destino,Praia nos EUA: o que muda pro brasileiro,o guia de praias por regiao,"Oi! Obrigada por comentar PRAIA. Como prometi, aqui vai o guia de praias por regiao. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
ORLANDO7,D06xP1,@viajaly,desejo,destino,Orlando em 7 dias que nao cansa,o roteiro de 7 dias,"Oi! Obrigada por comentar ORLANDO7. Como prometi, aqui vai o roteiro de 7 dias. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
DISNEY,D08xP1,@viajaly,desejo,destino,Cafe com personagem vale a pena?,a lista do que vale e do que pular,"Oi! Obrigada por comentar DISNEY. Como prometi, aqui vai a lista do que vale e do que pular. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
PRAIAKIDS,D09xP1,@viajaly,desejo,destino,Praia com crianca pequena nos EUA,o checklist do dia de praia,"Oi! Obrigada por comentar PRAIAKIDS. Como prometi, aqui vai o checklist do dia de praia. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
MIAMIKIDS,D10xP1,@viajaly,desejo,destino,Miami alem da praia com a familia,o roteiro alem da praia,"Oi! Obrigada por comentar MIAMIKIDS. Como prometi, aqui vai o roteiro alem da praia. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
NYCASAL,D01xP2,@viajaly,desejo,destino,Nova York a dois na primeira viagem,o roteiro de 4 dias a dois,"Oi! Obrigada por comentar NYCASAL. Como prometi, aqui vai o roteiro de 4 dias a dois. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
MIAMIDOIS,D02xP2,@viajaly,desejo,destino,Miami a dois,o roteiro romantico,"Oi! Obrigada por comentar MIAMIDOIS. Como prometi, aqui vai o roteiro romantico. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
CALIDOIS,D03xP2,@viajaly,desejo,destino,California a dois,o roteiro de estrada,"Oi! Obrigada por comentar CALIDOIS. Como prometi, aqui vai o roteiro de estrada. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
NEVEDOIS,D05xP2,@viajaly,desejo,destino,Neve a dois,o guia da primeira neve,"Oi! Obrigada por comentar NEVEDOIS. Como prometi, aqui vai o guia da primeira neve. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
PARQUEGRUPO,D04xP6,@viajaly,desejo,destino,Parques em grupo de amigos,o guia pra grupo,"Oi! Obrigada por comentar PARQUEGRUPO. Como prometi, aqui vai o guia pra grupo. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
PRAIAFAMILIA,D07xP1,@viajaly,desejo,destino,Praia em familia nos EUA,o roteiro parque + praia,"Oi! Obrigada por comentar PRAIAFAMILIA. Como prometi, aqui vai o roteiro parque + praia. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
RECOMECAR,D06xP3,@leticia,desejo,destino,Orlando pra quem ja foi negado,o proximo passo,"Oii, que bom que voce comentou RECOMECAR. Como prometi, aqui vai o proximo passo. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
PRAIADOIS,D09xP2,@viajaly,desejo,destino,Praia a dois nos EUA,as praias calmas por regiao,"Oi! Obrigada por comentar PRAIADOIS. Como prometi, aqui vai as praias calmas por regiao. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
MIAMIGRUPO,D10xP6,@viajaly,desejo,destino,Miami em grupo alem da praia,o roteiro do grupo,"Oi! Obrigada por comentar MIAMIGRUPO. Como prometi, aqui vai o roteiro do grupo. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
PROMESSA,A01xP3,@leticia,denuncia,engine,Ninguem garante visto (pra quem ja foi negado),o que muda no segundo pedido,"Oii, que bom que voce comentou PROMESSA. Como prometi, aqui vai o que muda no segundo pedido. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
MEIVISTO,A01xP7,@leticia,denuncia,engine,Ninguem garante visto (autonomo),como o autonomo se prepara,"Oii, que bom que voce comentou MEIVISTO. Como prometi, aqui vai como o autonomo se prepara. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
TAXA,A04xP1,@leticia,denuncia,engine,"A taxa nao volta, e por familia isso multiplica",a conta da familia fechada,"Oii, que bom que voce comentou TAXA. Como prometi, aqui vai a conta da familia fechada. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
NAOVOLTA,A04xP2,@leticia,denuncia,engine,A taxa nao volta (casal),o que preparar antes de pagar,"Oii, que bom que voce comentou NAOVOLTA. Como prometi, aqui vai o que preparar antes de pagar. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
VOLTAMEI,A14xP7,@viajaly,antidoto,engine,A unica pergunta e: voce volta? (autonomo),a montar a sua resposta,"Oi! Obrigada por comentar VOLTAMEI. Como prometi, aqui vai a montar a sua resposta. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
AUTONOMO,A16xP7,@viajaly,antidoto,engine,Nao ter carteira assinada nao te reprova,como comprovar vinculo sem holerite,"Oi! Obrigada por comentar AUTONOMO. Como prometi, aqui vai como comprovar vinculo sem holerite. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
SEGUNDAVEZ,A17xP3,@leticia,antidoto,engine,"Negado nao e o fim, mas tem uma coisa que voce NAO pode fazer",o que checar antes de reaplicar,"Oii, que bom que voce comentou SEGUNDAVEZ. Como prometi, aqui vai o que checar antes de reaplicar. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
COERENCIA,A18xP2,@viajaly,antidoto,engine,Incoerencia entre DS-160 e entrevista e a causa n1 de negativa,o checklist do casal,"Oi! Obrigada por comentar COERENCIA. Como prometi, aqui vai o checklist do casal. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
RENOVAR,A11xP5,@viajaly,utilidade,engine,Renovacao sem entrevista so vale se venceu ha menos de 12 meses,o checklist da renovacao,"Oi! Obrigada por comentar RENOVAR. Como prometi, aqui vai o checklist da renovacao. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
COMECO,A23xP2,@viajaly,desejo,engine,Toda foto dos sonhos comeca num consulado,o primeiro passo,"Oi! Obrigada por comentar COMECO. Como prometi, aqui vai o primeiro passo. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
RECOMECO,A29xP3,@leticia,desejo,engine,A foto e a parte facil; o carimbo foi a dificil,o proximo passo,"Oii, que bom que voce comentou RECOMECO. Como prometi, aqui vai o proximo passo. Quer que eu veja o seu caso? Me manda um oi por aqui ou toca no link da bio. Lembrando: a Viajaly nao garante aprovacao de vistos. A decisao e exclusiva das autoridades consulares."
